pixel	correction
1721	1.00821
1722	1.016943
1723	1.010892
1724	1.004018
1725	1.008655
1726	1.004409
1727	1.006541
1728	1.00985
1729	1.020203
1730	1.022626
1731	1.03326
1732	1.008707
1733	1.00441
1734	0.996707
1735	0.997386
1736	1.041717
1737	1.043834
1738	1.034748
1739	1.03133
1740	1.021215
1741	1.0133
1742	1.009674
1743	1.016731
1744	1.020396
1745	1.02228
1746	1.01532
1747	1.015039
1748	1.040228
1749	1.028621
1750	1.033759
1751	1.033231
1752	1.010343
1753	1.006069
1754	1.01176
1755	1.016059
1756	1.022413
1757	1.027344
1758	1.01715
1759	1.022801
1760	1.036588
1761	1.038819
1762	1.021183
1763	1.01709
1764	0.986134
1765	0.96127
1766	0.976116
1767	0.972014
1768	0.994473
1769	1.028153
1770	1.008004
1771	1.014997
1772	0.987639
1773	0.996924
1774	0.996329
1775	1.003098
1776	1.014425
1777	1.018373
1778	1.01226
1779	1.015282
1780	1.009944
1781	1.007262
1782	1.010647
1783	1.004557
1784	1.025259
1785	1.017919
1786	1.022236
1787	1.017653
1788	1.035665
1789	1.03013
1790	1.021177
1791	1.01933
1792	1.020341
1793	1.025331
1794	1.022178
1795	1.025192
1796	1.01881
1797	1.015769
1798	1.012567
1799	1.015792
1800	1.026751
1801	1.02903
1802	1.026747
1803	1.024734
1804	1.02365
1805	1.020692
1806	1.018646
1807	1.021802
1808	1.02099
1809	1.023288
1810	1.021437
1811	1.021173
1812	1.031039
1813	1.025333
1814	1.031967
1815	1.026993
1816	1.016839
1817	1.021735
1818	1.02093
1819	1.018317
1820	1.02802
1821	1.031172
1822	1.019942
1823	1.022677
1824	1.026666
1825	1.028675
1826	1.023897
1827	1.023308
1828	1.019261
1829	1.015208
1830	1.010785
1831	1.023324
1832	1.02815
1833	1.02647
1834	1.024648
1835	1.028632
1836	1.006041
1837	1.00088
1838	1.016289
1839	1.014284
1840	0.999748
1841	0.968966
1842	1.00776
1843	0.980011
1844	1.011546
1845	1.013066
1846	0.988488
1847	0.995183
1848	1.035697
1849	1.028293
1850	1.03201
1851	1.023012
1852	1.031898
1853	1.03495
1854	1.026108
1855	1.02845
1856	1.034864
1857	1.03407
1858	1.038165
1859	1.036759
1860	1.032255
1861	1.022035
1862	1.020214
1863	1.029483
1864	1.035871
1865	1.031815
1866	1.034108
1867	1.037724
1868	1.029202
